Organization,Language,Work Location,Number of Positions,Area of Selection,Classification,Education,Process Number,Poster URL,Title,Open Date,Close date,Number of Applications
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","education level unknown/not listed","19-CES-IPSB-IA-115481","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1295027","Director, Engagement (EX-01)","2019-04-23","2019-04-30",67
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-CES-LPB-IA-125788","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1474995","Director, Business Acumen","2020-08-04","2020-08-11",73
"Canada School of Public Service","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-CES-IPSB-IA-128167","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1513544","Director, Learning Strategy and Delivery","2020-11-05","2020-11-16",76
"Canada School of Public Service","Bilingual - imperative","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","education level unknown/not listed","18-CES-LPB-IA-107497","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1156583","NETWORKING EVENT FOR EX-01 GET TO KNOW US AS WE GET TO KNOW YOU!","2018-04-27","2018-05-07",141
"Canadian Environmental Assessment Agency","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","18-EAA-IA-NCR-322195-1","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1185464","Regional Director, EX-01 (Various Locations)","2018-07-09","2018-07-27",8
"Canadian Environmental Assessment Agency","Bilingual - imperative","Québec, Québec Center","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15_EAA-IA-QUE-51499","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=817451","Director, Quebec Region","2015-07-24","2015-08-07",16
"Canadian Environmental Assessment Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, Public Servants in NCR","EX01","Post-secondary","18-EAA-IA-NCR-308852","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1114368","Director of Communications","2018-01-04","2018-01-10",22
"Canadian Environmental Assessment Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-EAA-IA-NCR-55631","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=925553","Director (Anticipatory)","2016-05-27","2016-06-06",39
"Canadian Environmental Assessment Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, Public Servants in NCR","EX01","Post-secondary","19-IAA-IA-NCR-359457","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1393653","Director, Operations *ANTICIPATORY*","2020-01-06","2020-01-16",52
"Canadian Environmental Assessment Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-EAA-IA-NCR-281683","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1000481","Director, Policy Analysis","2017-01-13","2017-01-23",56
"Canadian Environmental Assessment Agency","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","18-EAA-IA-NCR-322195-2","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1191162","Regional Director/Director, EX-01 (Various Locations)","2018-07-25","2018-08-10",137
"Canadian Environmental Assessment Agency","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-EAA-IA-NCR-328282","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1216439","Director (Various Positions)","2018-09-28","2018-10-10",253
"Canadian Grain Commission","English essential","Manitoba, Southern Manitoba","One Position","External Process","EX01","Post-secondary","16-CGC-HQ-EA-IS-2219","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=989685","Chief Grain Inspector for Canada","2016-12-09","2017-01-03",15
"Canadian Grain Commission","English essential","Manitoba, Southern Manitoba","One Position","External Process","EX01","education level unknown/not listed","19-CGC-HQ-EA-EX-2882","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1279502","Chief Audit and Evaluation Officer","2019-03-22","2019-04-05",25
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-PCH-IA-SPC-0005","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1428818","Director, Contracting and Materiel Management","2020-03-12","2020-03-26",9
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-PCH-IA-SPC-2526","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=984252","Director, Centre of Expertise for Grants and Contributions","2016-11-25","2016-12-05",11
"Canadian Heritage","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","19-PCH-IA-CA-0028","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1310998","Director, Strategic Policy and Economic Analysis & Director, Trade Negotiations and Investments","2019-06-05","2019-06-19",17
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-PCH-IA-CA-0035","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1532003","Director, Arts Policy","2021-01-04","2021-01-17",17
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","16-PCH-EA-CHR-1876","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=956789","Director, Research, Conservation and Scientific Services","2016-09-23","2016-10-17",18
"Canadian Heritage","Bilingual - imperative","Ontario, Greater Toronto Area","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-PCH-IA-ONT-2341","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=974591","Regional Director, Ontario Region","2016-11-09","2016-11-23",20
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-PCH-IA-CA-1512","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=940184","Director, Strategic Arts Support","2016-08-08","2016-08-28",21
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-PCH-IA-COM-0008","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1235803","Director, Issues Management and Ministerial Services","2018-11-28","2018-12-19",25
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-PCH-IA-CA-1011","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1030161","Director, Arts Development and Programs","2017-04-11","2017-04-26",27
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","17-PCH-IA-SPC-1836","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1058675","Director, Human Rights, International and Intergovernmental Affairs","2017-07-17","2017-07-31",35
"Canadian Heritage","Bilingual - imperative","Québec, Montréal","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-PCH-IA-OLHR-0004","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1417635","Regional Director, Citizenship and Identity","2020-02-21","2020-03-05",35
"Canadian Heritage","Bilingual - imperative","Ontario, Greater Toronto Area","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-PCH-IA-ONT-2579","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=863519","Regional Director, Ontario Region","2015-11-27","2015-12-09",36
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","16-PCH-IA-SME-0809","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=916166","Director, Sport Development (ANTICIPATORY)","2016-05-04","2016-05-16",37
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","External Process","EX01","Post-secondary","17-PCH-EA-CHR-1751","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1055408","Director, Heritage Information","2017-07-18","2017-08-09",46
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","20-PCH-IA-CI-0022","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1487990","Director, Community Engagement","2020-08-31","2020-09-14",47
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","19-PCH-IA-SME-0012","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1263659","Director, Celebrations and  Commemorations","2019-02-12","2019-02-21",67
"Canadian Heritage","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","18-PCH-IA-SPC-0361","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1130945","Director, Multiculturalism Policy","2018-02-20","2018-03-06",68
"Canadian Heritage","Bilingual - imperative","Various locations","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","18-PCH-IA-PCH-0140","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1121230","Various Director positions (Anticipatory)","2018-02-12","2018-03-05",111
"Canadian Heritage","Various language requirements and/or profiles","Multiple locations","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","22-PCH-IA-PCH-0006","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1754776","Various Director Positions (Anticipatory) *AMENDMENT TO CLOSING DATE*","2022-04-13","2022-05-06",659
"Canadian Human Rights Commission","Bilingual - imperative","National Capital Region","One Position","Internal Process, Public Servants in NCR","EX01","Post-secondary","2022-HRC-CSB-IA-128","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1830510","Director, Complaints Assessment Division","2022-08-05","2022-08-15",24
"Canadian Human Rights Commission","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2017-HRC-IA-PROT-132","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1115184","Director, Human Rights Investigations","2018-01-15","2018-01-22",68
"Canadian Human Rights Commission","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2021-HRC-AEB-COLL-IA-164","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1698445","Director","2022-01-11","2022-01-18",104
"Canadian Human Rights Commission","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2022-HRC-ESB-IA-235","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1927893","Director, Inclusion, Diversity, Equity, Accessibility and Anti-Racism (IDEA-AR)","2023-02-02","2023-02-09",124
"Canadian Northern Economic Development Agency","English essential","Multiple locations","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","15-NED-ACIN-YK-OPS-165093","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=843128","Regional Director, Operations","2015-09-24","2015-10-07",5
"Canadian Northern Economic Development Agency","Bilingual - non-imperative","Nunavut, Nunavut","One Position","Internal Process, All Public Servants","EX01","Post-secondary","18-NED-IA-HQ-COM-312528","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1131730","Director of Communications","2018-02-26","2018-03-16",14
"Canadian Northern Economic Development Agency","Bilingual - non-imperative","Nunavut, Nunavut","One Position","External Process","EX01","Post-secondary","18-NED-EA-HQ-COM-312056","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1131736","Director of Communications","2018-02-26","2018-03-16",31
"Canadian Northern Economic Development Agency","English essential","Northwest Territories, Northwest Territories","One Position","External Process","EX01","Post-secondary","18-NED-EA-NT-OPS-328818","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1219162","Regional Director, Operations","2018-10-09","2018-10-19",40
"Canadian Northern Economic Development Agency","English essential","Northwest Territories, Northwest Territories","One Position","External Process","EX01","Post-secondary","20-NED-EA-NT-OPS-379622","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1524434","Regional Director, Operations  CanNor is looking for Executive Talent!","2020-11-26","2020-12-11",54
"Canadian Northern Economic Development Agency","English essential","Nunavut, Nunavut","One Position","External Process","EX01","Post-secondary","19-NED-EA-HQ-OPS-338940","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1279198","Regional Director, Operations","2019-03-12","2019-03-29",56
